WORD;DEFINITION;LEMMAS;HYPONYMS;HYPERNYMS;HOLONYMS
water;binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid, freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade, widely used as a solvent;['water', 'H2O'];['bath_water.n.01', 'bilge.n.01', 'dishwater.n.01', 'distilled_water.n.01', 'fresh_water.n.01', 'ground_water.n.01', 'hard_water.n.01', 'holy_water.n.01', 'limewater.n.01', 'meltwater.n.01', 'seawater.n.01', 'slush.n.01', 'soft_water.n.01', 'tap_water.n.01', 'water_of_crystallization.n.01'];['binary_compound.n.01', 'liquid.n.03'];[]
water;the part of the earth's surface covered with water (such as a river or lake or ocean);['body_of_water', 'water'];['backwater.n.01', 'bay.n.01', 'channel.n.04', 'drink.n.04', 'estuary.n.01', 'flowage.n.02', 'ford.n.07', 'gulf.n.01', 'high_sea.n.01', 'inlet.n.01', 'lake.n.01', 'main.n.01', 'mid-water.n.01', 'ocean.n.01', 'offing.n.02', 'polynya.n.01', 'pool.n.06', 'sea.n.01', 'seven_seas.n.01', 'shoal.n.02', 'sound.n.08', 'stream.n.01', 'territorial_waters.n.01', 'waterfall.n.01', 'waterway.n.01'];['thing.n.12'];[]
water;once thought to be one of four elements composing the universe (Empedocles);['water'];[];['element.n.05'];[]
water;a facility that provides a source of water;['water_system', 'water_supply', 'water'];[];['facility.n.01'];[]
water;liquid excretory product;['urine', 'piss', 'pee', 'piddle', 'weewee', 'water'];[];['body_waste.n.01'];[]
water;a liquid necessary for the life of most animals and plants;['water'];['branch_water.n.01', 'drinking_water.n.01', 'spring_water.n.02'];['food.n.01', 'liquid.n.01', 'nutrient.n.02'];[]
water;supply with water, as with channels or ditches or streams;['water', 'irrigate'];['flush.v.07', 'hose.v.01', 'hush.v.05'];['wet.v.01'];[]
water;provide with water;['water'];[];['supply.v.01'];[]
water;secrete or form water, as tears or saliva;['water'];[];['secrete.v.01'];[]
water;fill with tears;['water'];[];['fill.v.02'];[]
nutrient;any substance that can be metabolized by an animal to give energy and build tissue;['food', 'nutrient'];['beverage.n.01', 'chyme.n.01', 'comestible.n.01', 'comfort_food.n.01', 'commissariat.n.01', 'culture_medium.n.01', 'fare.n.04', 'feed.n.01', 'foodstuff.n.02', 'micronutrient.n.01', 'miraculous_food.n.01', 'nutriment.n.01', 'soul_food.n.01', 'water.n.06', 'yolk.n.02'];['substance.n.07'];[]
nutrient;any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis;['nutrient'];['water.n.06'];['substance.n.07'];[]
nutrient;of or providing nourishment;['alimentary', 'alimental', 'nourishing', 'nutrient', 'nutritious', 'nutritive'];[];[];[]
phosphorus;a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells, is highly reactive and occurs in several allotropic forms;['phosphorus', 'P', 'atomic_number_15'];[];['chemical_element.n.01'];[]
phosphorus;a planet (usually Venus) seen just before sunrise in the eastern sky;['morning_star', 'daystar', 'Phosphorus', 'Lucifer'];[];['planet.n.01'];[]
sludge;the precipitate produced by sewage treatment;['sludge'];[];['precipitate.n.01'];[]
sludge;any thick, viscous matter;['sludge', 'slime', 'goo', 'goop', 'gook', 'guck', 'gunk', 'muck', 'ooze'];['sapropel.n.01'];['matter.n.03'];[]
phosphate;a salt of phosphoric acid;['phosphate', 'orthophosphate', 'inorganic_phosphate'];['calcium_phosphate.n.01', 'sodium_phosphate.n.01'];['salt.n.01'];[]
phosphate;carbonated drink with fruit syrup and a little phosphoric acid;['phosphate'];[];['soft_drink.n.01'];[]
energy;(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work, the units of energy are joules or ergs;['energy', 'free_energy'];['activation_energy.n.01', 'alternative_energy.n.01', 'atomic_energy.n.01', 'binding_energy.n.01', 'chemical_energy.n.01', 'electricity.n.02', 'energy_level.n.01', 'heat.n.01', 'mechanical_energy.n.01', 'radiant_energy.n.01', 'radiation.n.01', 'rest_energy.n.01', 'work.n.05'];['physical_phenomenon.n.01'];[]
energy;forceful exertion;['energy', 'vigor', 'vigour', 'zip'];['athleticism.n.01'];['force.n.03'];[]
energy;enterprising or ambitious drive;['energy', 'push', 'get-up-and-go'];['second_wind.n.01'];['drive.n.05'];[]
energy;an imaginative lively style (especially style of writing);['energy', 'muscularity', 'vigor', 'vigour', 'vim'];['vitality.n.01'];['liveliness.n.02'];[]
energy;a healthy capacity for vigorous activity;['energy', 'vim', 'vitality'];['juice.n.02', 'qi.n.01'];['good_health.n.01'];[]
energy;any source of usable power;['energy'];[];['physical_phenomenon.n.01'];[]
energy;the federal department responsible for maintaining a national energy policy of the United States, created in 1977;['Department_of_Energy', 'Energy_Department', 'Energy', 'DOE'];[];['executive_department.n.01'];[]
reactor;an electrical device used to introduce reactance into a circuit;['reactor'];['coil.n.06'];['electrical_device.n.01'];[]
reactor;(physics) any of several kinds of apparatus that maintain and control a nuclear reaction for the production of energy or artificial elements;['nuclear_reactor', 'reactor'];['atomic_pile.n.01', 'breeder_reactor.n.01', 'fast_reactor.n.01', 'gas-cooled_reactor.n.01', 'liquid_metal_reactor.n.01', 'thermal_reactor.n.01', 'thermonuclear_reactor.n.01', 'water-cooled_reactor.n.01'];['apparatus.n.01'];[]
organic;a fertilizer that is derived from animal or vegetable matter;['organic', 'organic_fertilizer', 'organic_fertiliser'];['bonemeal.n.01', 'fish_meal.n.01', 'guano.n.01', 'manure.n.01', 'neem_cake.n.01'];['fertilizer.n.01'];[]
organic;relating or belonging to the class of chemical compounds having a carbon basis;['organic'];[];[];[]
organic;being or relating to or derived from or having properties characteristic of living organisms;['organic'];[];[];[]
organic;involving or affecting physiology or bodily organs;['organic'];[];[];[]
organic;of or relating to foodstuff grown or raised without synthetic fertilizers or pesticides or hormones;['organic'];[];[];[]
organic;simple and healthful and close to nature;['organic'];[];[];[]
organic;constitutional in the structure of something (especially your physical makeup);['constituent', 'constitutional', 'constitutive', 'organic'];[];[];[]
digestion;the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat;['digestion'];[];['chemical_process.n.01'];[]
digestion;the organic process by which food is converted into substances that can be absorbed into the body;['digestion'];['gastric_digestion.n.01'];['organic_process.n.01'];[]
digestion;learning and coming to understand ideas and information;['digestion'];[];['learning.n.01'];[]
acid;any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt;['acid'];['alkapton.n.01', 'aminobenzoic_acid.n.01', 'aqua_regia.n.01', 'arsenic_acid.n.01', 'barbituric_acid.n.01', 'boric_acid.n.01', 'boric_acid.n.02', 'bromic_acid.n.01', 'carbamic_acid.n.01', 'carbolic_acid.n.01', 'carbonic_acid.n.01', 'carboxylic_acid.n.01', 'cerotic_acid.n.01', 'chloric_acid.n.01', 'chlorous_acid.n.01', 'chromic_acid.n.01', 'citric_acid.n.01', 'cyanamide.n.01', 'cyanic_acid.n.01', 'cyanuric_acid.n.01', 'dibasic_acid.n.01', 'dichromic_acid.n.01', 'ferricyanic_acid.n.01', 'ferrocyanic_acid.n.01', 'fluoroboric_acid.n.01', 'fluosilicic_acid.n.01', 'formic_acid.n.01', 'fulminic_acid.n.01', 'fumaric_acid.n.01', 'gallic_acid.n.01', 'gamma_acid.n.01', 'glyceric_acid.n.01', 'glycolic_acid.n.01', 'hydriodic_acid.n.01', 'hydrobromic_acid.n.01', 'hydrochloric_acid.n.01', 'hydrocyanic_acid.n.01', 'hydrofluoric_acid.n.01', 'hydrogen_chloride.n.01', 'hydroiodic_acid.n.01', 'hydroxy_acid.n.01', 'hypochlorous_acid.n.01', 'hyponitrous_acid.n.01', 'iodic_acid.n.01', 'isocyanic_acid.n.01', 'itaconic_acid.n.01', 'lansoprazole.n.01', 'lysergic_acid.n.01', 'maleic_acid.n.01', 'manganic_acid.n.01', 'methacrylic_acid.n.01', 'monobasic_acid.n.01', 'nitric_acid.n.01', 'nitrous_acid.n.01', 'oxalacetic_acid.n.01', 'oxalic_acid.n.01', 'oxyacid.n.01', 'pantothenic_acid.n.01', 'para_aminobenzoic_acid.n.01', 'pectic_acid.n.01', 'perchloric_acid.n.01', 'permanganic_acid.n.01', 'phthalic_acid.n.01', 'picric_acid.n.01', 'pyruvic_acid.n.01', 'selenic_acid.n.01', 'silicic_acid.n.01', 'sulfanilic_acid.n.01', 'sulfonic_acid.n.01', 'tetrabasic_acid.n.01', 'thiocyanic_acid.n.01', 'titanic_acid.n.01', 'toluic_acid.n.01', 'tribasic_acid.n.01', 'triphosphoric_acid.n.01', 'undecylenic_acid.n.01', 'uric_acid.n.01', 'vitriol.n.01', 'xanthic_acid.n.01'];['compound.n.02'];[]
acid;street name for lysergic acid diethylamide;['acid', 'back_breaker', 'battery-acid', 'dose', 'dot', 'Elvis', 'loony_toons', 'Lucy_in_the_sky_with_diamonds', 'pane', 'superman', 'window_pane', 'Zen'];[];['lysergic_acid_diethylamide.n.01'];[]
acid;harsh or corrosive in tone;['acerb', 'acerbic', 'acid', 'acrid', 'bitter', 'blistering', 'caustic', 'sulfurous', 'sulphurous', 'virulent', 'vitriolic'];[];[];[]
acid;being sour to the taste;['acidic', 'acid', 'acidulent', 'acidulous'];[];[];[]
acid;having the characteristics of an acid;['acid'];[];[];[]
anaerobic;living or active in the absence of free oxygen;['anaerobic', 'anaerobiotic'];[];[];[]
anaerobic;not aerobic;['anaerobic'];[];[];[]
figure;a diagram or picture illustrating textual material;['figure', 'fig'];[];['illustration.n.01'];[]
figure;alternative names for the body of a human being;['human_body', 'physical_body', 'material_body', 'soma', 'build', 'figure', 'physique', 'anatomy', 'shape', 'bod', 'chassis', 'frame', 'form', 'flesh'];['adult_body.n.01', 'female_body.n.01', 'juvenile_body.n.01', 'male_body.n.01', 'person.n.02'];['body.n.01'];[]
figure;one of the elements that collectively form a system of numeration;['digit', 'figure'];['binary_digit.n.01', 'decimal_digit.n.01', 'duodecimal_digit.n.01', 'eight.n.01', 'five.n.01', 'four.n.01', 'hexadecimal_digit.n.01', 'nine.n.01', 'octal_digit.n.01', 'one.n.01', 'seven.n.01', 'significant_digit.n.01', 'six.n.01', 'three.n.01', 'two.n.01', 'zero.n.02'];['integer.n.01'];[]
figure;a model of a bodily form (especially of a person);['figure'];['dummy.n.03', 'figurehead.n.02', 'figurine.n.01', 'puppet.n.01', 'snowman.n.01'];['model.n.04'];[]
figure;a well-known or notable person;['name', 'figure', 'public_figure'];[];['important_person.n.01'];[]
figure;a combination of points and lines and planes that form a visible palpable shape;['figure'];['equilateral.n.01', 'parallel.n.03', 'pencil.n.03', 'plane_figure.n.01', 'solid_figure.n.01', 'subfigure.n.01'];['shape.n.02'];[]
figure;an amount of money expressed numerically;['figure'];[];['sum.n.01'];[]
figure;the impression produced by a person;['figure'];[];['impression.n.02'];[]
figure;the property possessed by a sum or total or indefinite quantity of units or individuals;['number', 'figure'];['fewness.n.01', 'innumerableness.n.01', 'majority.n.01', 'minority.n.02', 'numerousness.n.01', 'preponderance.n.02', 'roundness.n.02'];['amount.n.02'];[]
figure;language used in a figurative or nonliteral sense;['trope', 'figure_of_speech', 'figure', 'image'];['conceit.n.02', 'hyperbole.n.01', 'irony.n.03', 'kenning.n.01', 'metaphor.n.01', 'metonymy.n.01', 'oxymoron.n.01', 'personification.n.02', 'simile.n.01', 'synecdoche.n.01', 'zeugma.n.01'];['rhetorical_device.n.01'];[]
figure;a unitary percept having structure and coherence that is the object of attention and that stands out against a ground;['figure'];[];['percept.n.01'];[]
figure;a decorative or artistic work;['design', 'pattern', 'figure'];['argyle.n.02', 'bear_claw.n.02', 'damascene.n.02', 'decal.n.01', 'device.n.04', 'emblem.n.01', 'herringbone.n.02', 'linocut.n.02', 'mandala.n.01', 'marking.n.02', 'mihrab.n.01', 'motif.n.01', 'polka_dot.n.01', 'pyrograph.n.01', 'screen_saver.n.01', 'sunburst.n.02', 'tattoo.n.02', 'tetraskelion.n.01', 'triskelion.n.01', 'weave.n.01'];['decoration.n.01'];[]
figure;a predetermined set of movements in dancing or skating;['figure'];['figure_eight.n.02', 'spread_eagle.n.02'];['maneuver.n.03'];[]
figure;judge to be probable;['calculate', 'estimate', 'reckon', 'count_on', 'figure', 'forecast'];['allow.v.06'];['evaluate.v.02'];[]
figure;be or play a part of or in;['figure', 'enter'];[];['be.v.01'];[]
figure;imagine, conceive of, see in one's mind;['visualize', 'visualise', 'envision', 'project', 'fancy', 'see', 'figure', 'picture', 'image'];[];['imagine.v.01'];[]
figure;make a mathematical calculation or computation;['calculate', 'cipher', 'cypher', 'compute', 'work_out', 'reckon', 'figure'];['add.v.04', 'average.v.03', 'budget.v.01', 'capitalize.v.04', 'differentiate.v.03', 'divide.v.02', 'estimate.v.01', 'extract.v.08', 'factor.v.01', 'integrate.v.04', 'interpolate.v.01', 'miscalculate.v.02', 'multiply.v.01', 'process.v.03', 'prorate.v.02', 'quantize.v.02', 'recalculate.v.01', 'resolve.v.06', 'subtract.v.01', 'survey.v.06'];['reason.v.03'];[]
figure;understand;['figure'];[];['grok.v.01'];[]
product;commodities offered for sale;['merchandise', 'ware', 'product'];['cargo.n.01', 'contraband.n.01', 'feature.n.06', 'generic.n.02', 'ironmongery.n.01', 'irregular.n.02', 'line.n.22', 'number.n.11', 'refill.n.02', 'release.n.01', 'schlock.n.01', 'software_package.n.02', 'stock.n.02', 'top_of_the_line.n.01', 'yard_goods.n.01'];['commodity.n.01'];[]
product;an artifact that has been created by someone or some process;['product', 'production'];['book.n.02', 'book.n.11', 'by-product.n.02', 'deliverable.n.01', 'end_product.n.01', 'inspiration.n.02', 'job.n.04', 'magazine.n.02', 'movie.n.01', 'newspaper.n.03', 'output.n.05', 'turnery.n.02', 'work.n.02', 'yield.n.03'];['creation.n.02'];[]
product;a quantity obtained by multiplication;['product', 'mathematical_product'];['factorial.n.01', 'multiple.n.01'];['quantity.n.03'];[]
product;a chemical substance formed as a result of a chemical reaction;['product'];['filtrate.n.01', 'hydrolysate.n.01'];['chemical.n.01'];[]
product;a consequence of someone's efforts or of a particular set of circumstances;['product'];[];['consequence.n.01'];[]
product;the set of elements common to two or more sets;['intersection', 'product', 'Cartesian_product'];[];['set.n.01'];[]
system;instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity;['system'];['audio_system.n.01', 'communication_system.n.01', 'computer_system.n.01', 'containment.n.02', 'control_system.n.01', 'data_system.n.01', 'drainage_system.n.01', 'exhaust.n.02', 'explosive_detection_system.n.01', 'explosive_trace_detection.n.01', 'guidance_system.n.01', 'hookup.n.02', 'inertial_guidance_system.n.01', 'lockage.n.02', 'maze.n.01', 'mechanical_system.n.01', 'navigational_system.n.01', 'network.n.04', 'network.n.05', 'propulsion_system.n.01', 'resonator.n.03', 'scaffolding.n.01', 'security_system.n.01', 'selsyn.n.01', 'shipboard_system.n.01', 'solar_thermal_system.n.01', 'sprinkler_system.n.01', 'synchromesh.n.01'];['instrumentality.n.03'];[]
system;a group of independent but interrelated elements comprising a unified whole;['system', 'scheme'];['body.n.06', 'dragnet.n.01', 'economy.n.01', 'ecosystem.n.01', 'judiciary.n.02', 'language_system.n.01', 'machinery.n.02', 'network.n.01', 'nonlinear_system.n.01', 'organism.n.02', 'rootage.n.02', 'shebang.n.01', 'social_organization.n.01', 'solar_system.n.01', 'subsystem.n.01', 'syntax.n.02', 'water_system.n.01'];['group.n.01'];[]
system;(physical chemistry) a sample of matter in which substances in different phases are in equilibrium;['system'];[];['matter.n.03'];[]
system;a complex of methods or rules governing behavior;['system', 'system_of_rules'];['accounting.n.02', 'anthroposophy.n.01', 'discipline.n.02', 'ethic.n.02', 'frame_of_reference.n.02', 'gambling_system.n.01', 'government.n.03', 'honor_system.n.01', 'logic.n.04', 'logic.n.05', 'merit_system.n.01', 'organon.n.01', 'point_system.n.01', 'program.n.02', 'spoils_system.n.01', 'theology.n.02', 'theosophy.n.01'];['method.n.01'];[]
system;an organized structure for arranging or classifying;['arrangement', 'organization', 'organisation', 'system'];['calendar.n.01', 'classification_system.n.01', 'contrivance.n.04', 'coordinate_system.n.01', 'data_structure.n.01', 'design.n.02', 'distribution.n.01', 'genetic_map.n.01', 'kinship_system.n.01', 'lattice.n.01', 'living_arrangement.n.01', 'ontology.n.01'];['structure.n.03'];[]
system;a group of physiologically or anatomically related organs or parts;['system'];['articulatory_system.n.01', 'central_nervous_system.n.01', 'digestive_system.n.01', 'endocrine_system.n.01', 'immune_system.n.01', 'integumentary_system.n.01', 'mononuclear_phagocyte_system.n.01', 'muscular_structure.n.01', 'musculoskeletal_system.n.01', 'nervous_system.n.01', 'peripheral_nervous_system.n.01', 'reproductive_system.n.01', 'respiratory_system.n.01', 'reticuloendothelial_system.n.01', 'sensory_system.n.02', 'skeletal_system.n.01', 'tract.n.02', 'urogenital_system.n.01', 'vascular_system.n.01', 'venation.n.02'];['body_part.n.01'];[]
system;a procedure or process for obtaining an objective;['system'];['credit_system.n.01', 'legal_system.n.01', 'pricing_system.n.01', 'promotion_system.n.01'];['plan_of_action.n.01'];[]
system;the living body considered as made up of interdependent components forming a unified whole;['system'];[];['live_body.n.01'];[]
system;an ordered manner, orderliness by virtue of being methodical and well organized;['organization', 'organisation', 'system'];[];['orderliness.n.01'];[]
waste;any materials unused and rejected as worthless or unwanted;['waste', 'waste_material', 'waste_matter', 'waste_product'];['body_waste.n.01', 'effluent.n.01', 'exhaust.n.01', 'filth.n.01', 'garbage.n.01', 'impurity.n.01', 'pollutant.n.01', 'rubbish.n.01', 'sewage.n.01', 'slop.n.03', 'toxic_waste.n.01'];['material.n.01'];[]
waste;useless or profitless activity, using or expending or consuming thoughtlessly or carelessly;['waste', 'wastefulness', 'dissipation'];['boondoggle.n.01', 'extravagance.n.03', 'squandering.n.01', 'waste_of_effort.n.01', 'waste_of_material.n.01', 'waste_of_money.n.01', 'waste_of_time.n.01'];['activity.n.01'];[]
waste;the trait of wasting resources;['thriftlessness', 'waste', 'wastefulness'];[];['improvidence.n.01'];[]
waste;an uninhabited wilderness that is worthless for cultivation;['barren', 'waste', 'wasteland'];['heath.n.02'];['wilderness.n.03'];[]
waste;(law) reduction in the value of an estate caused by act or neglect;['waste', 'permissive_waste'];[];['act.n.02'];[]
waste;spend thoughtlessly, throw away;['waste', 'blow', 'squander'];['burn.v.09'];['use.v.03'];[]
waste;use inefficiently or inappropriately;['waste'];[];['use.v.01'];[]
waste;get rid of;['waste'];[];['discard.v.01'];[]
waste;run off as waste;['waste', 'run_off'];[];['run.v.06'];[]
waste;get rid of (someone who may be a threat) by killing;['neutralize', 'neutralise', 'liquidate', 'waste', 'knock_off', 'do_in'];[];['kill.v.01'];[]
waste;spend extravagantly;['consume', 'squander', 'waste', 'ware'];['fritter.v.01', 'lavish.v.01', 'luxuriate.v.01', 'overspend.v.02', 'splurge.v.01'];['spend.v.02'];[]
waste;lose vigor, health, or flesh, as through grief;['pine_away', 'waste', 'languish'];[];['weaken.v.02'];[]
waste;cause to grow thin or weak;['waste', 'emaciate', 'macerate'];[];['enfeeble.v.01'];[]
waste;cause extensive destruction or ruin utterly;['lay_waste_to', 'waste', 'devastate', 'desolate', 'ravage', 'scourge'];['ruin.v.04'];['destroy.v.02'];[]
waste;become physically weaker;['waste', 'rot'];['necrose.v.01'];['devolve.v.03'];[]
waste;located in a dismal or remote area, desolate;['godforsaken', 'waste', 'wild'];[];[];[]
tank;an enclosed armored military vehicle, has a cannon and moves on caterpillar treads;['tank', 'army_tank', 'armored_combat_vehicle', 'armoured_combat_vehicle'];['panzer.n.01'];['armored_vehicle.n.01', 'military_vehicle.n.01', 'tracked_vehicle.n.01'];[]
tank;a large (usually metallic) vessel for holding gases or liquids;['tank', 'storage_tank'];['aquarium.n.01', 'cistern.n.02', 'gas_holder.n.01', 'gas_tank.n.01', 'reservoir.n.03', 'septic_tank.n.01', 'water_heater.n.01'];['vessel.n.03'];[]
tank;as much as a tank will hold;['tank', 'tankful'];[];['containerful.n.01'];[]
tank;a freight car that transports liquids or gases in bulk;['tank_car', 'tank'];[];['freight_car.n.01'];[]
tank;a cell for violent prisoners;['cooler', 'tank'];[];['cell.n.07'];[]
tank;store in a tank by causing (something) to flow into it;['tank'];[];['store.v.02'];[]
tank;consume excessive amounts of alcohol;['tank'];[];['drink.v.02'];[]
tank;treat in a tank;['tank'];[];['process.v.01'];[]
solids;matter that is solid at room temperature and pressure;['solid'];['crystal.n.01', 'dry_ice.n.01', 'food.n.02', 'glass.n.01', 'plastic.n.01', 'powder.n.01', 'precipitate.n.01', 'vitrification.n.01'];['matter.n.03'];[]
solids;the state in which a substance has no tendency to flow under moderate stress, resists forces (such as compression) that tend to deform it, and retains a definite size and shape;['solid', 'solidness', 'solid_state'];[];['state_of_matter.n.01'];[]
solids;a three-dimensional shape;['solid'];['block.n.03', 'cast.n.03', 'concave_shape.n.01', 'convex_shape.n.01', 'cylinder.n.01', 'frustum.n.01', 'ovoid.n.01', 'polyhedron.n.01', 'toroid.n.01'];['shape.n.02'];[]
membrane;a thin pliable sheet of material;['membrane'];['drumhead.n.01', 'gelatin.n.03'];['sheet.n.06'];[]
membrane;a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants;['membrane', 'tissue_layer'];"['axolemma.n.01', 'basilar_membrane.n.01', ""bowman's_capsule.n.01"", 'chorioallantois.n.01', 'choroid.n.01', 'ciliary_body.n.01', 'cornea.n.01', 'diaphragm.n.02', 'eardrum.n.01', 'endocranium.n.01', 'endosteum.n.01', 'ependyma.n.01', 'fertilization_membrane.n.01', 'fetal_membrane.n.01', 'hyaloid_membrane.n.01', 'intima.n.01', 'iris.n.02', 'lamella.n.02', 'meninx.n.01', 'mucous_membrane.n.01', 'periosteum.n.01', 'perithelium.n.01', 'retina.n.01', 'sarcolemma.n.01', 'semipermeable_membrane.n.01', 'serous_membrane.n.01', 'synovial_membrane.n.01', 'trophoblast.n.01', 'tunic.n.01', 'web.n.07']";['animal_tissue.n.01'];[]
